he1	he2	ho1	ho2	n_all	r_hat1	r_hat2	mean_r_hat	r_max1	r_max2	fst	fit	fis	wc_he	corr_fst	corr_fit	corr_fis	corr_wc_he	corr_fst_mr	corr_fit_mr	corr_fis_mr	corr_wc_he_mr	het_f	hom_f	het_m	hom_m	auto_df	auto_g	sex_df	sex_g	maf	nind
2	0.447368421052632	0.562283737024221	0.0526315789473685	0.235294117647059	5	0.583333333333333	0.40997830802603	0.496655820679682	0.583333333333333	0.5625	0.0668927649004224	0.754109609789571	0.73648217379411	0.527056901191849	0.0105977137322778	0.737473202181978	0.73466121772536	0.382734731975718	0.00458959255564703	0.733814545137313	0.732587229476434	0.391266215682451	3	17	2	11	14	6.25075310425667	14	9.68081274323997	0.652777777777778	36
4	0.561631944444445	0.43125	0.291666666666667	0.2	6	0.316378433367243	0.366336633663366	0.341357533515305	0.354166666666667	0.5	-0.00498580900639094	0.517146951630867	0.51954242135367	0.520337301587302	-0.0168511599131769	0.374629106236943	0.384992692719695	0.45738695037372	-0.0133705066394536	0.37448636641246	0.382739452658956	0.455408488273968	8	17	3	13	20	6.65139298917128	20	13.2994397268921	0.659090909090909	44
8	0.5	0.413194444444444	0.0666666666666667	0.0833333333333334	2	0.666666666666667	0.664335664335664	0.665501165501165	0.666666666666667	0.729166666666667	0.0178981184029371	0.853143643873336	0.850467289719626	0.49537037037037	-0.0237003609934598	0.926034579522699	0.927747001666072	0.285483582754924	-0.0238240850462127	0.926031503587506	0.927752728722772	0.285597457519575	1	14	1	9	2	0.2993126673032	2	3.1419628797474	0.592592592592593	27
9	0.396694214876033	0.5	0.181818181818182	0.238095238095238	2	0.371428571428572	0.354838709677419	0.363133640552995	0.458333333333333	0.458333333333333	0.0700431276816346	0.58037964040462	0.548774387193597	0.463852936626618	0.0149775850175771	0.627426100290023	0.621760993411886	0.42689054444756	0.0160952910785925	0.627482360258046	0.621388497926469	0.426593734821809	6	19	3	12	2	6.63464369795711	2	15.3787025875748	0.616279069767442	43
10	0.118923611111111	0.444234404536862	0.125	0.304347826086957	5	1e-04	0.186868686868687	0.0934843434343434	0.4375	0.375	0.104227807466469	0.333021153162077	0.255414655202131	0.285750933634837	0.185327759220036	0.381766426415232	0.241126010390542	0.289267140064775	0.0711265167727399	0.361604703368199	0.31272093760953	0.322215335239649	6	21	4	13	14	2.41403754909154	14	13.9397472502931	0.829787234042553	47
12	0.472318339100346	0.472318339100346	0.0588235294117647	0.176470588235294	2	0.625	0.456	0.5405	0.625	0.583333333333333	-0.0547161172161172	0.750915750915751	0.763837638376384	0.498161764705882	-0.0164961289286607	0.824319237534483	0.827170259221079	0.351661288782722	-0.0395499172211399	0.820566286591946	0.827392883751359	0.361851901548039	1	20	3	9	2	3.07219602878984	2	9.91392132131965	0.617647058823529	34
13	0.473534971644613	0.273760330578512	0.347826086956522	0.181818181818182	4	0.153049482163406	0.201814058956916	0.177431770560161	0.354166666666667	0.458333333333333	0.0149517408192058	0.321501026144722	0.311202301479579	0.387148022183411	-0.00969359001167875	0.372871726787489	0.378892488358515	0.415618189983274	-0.00143109386359794	0.372937392919069	0.373833495960591	0.41246450607965	7	17	4	14	9	7.40421165157716	9	13.7610761777521	0.766666666666667	45
14	0.641528925619835	0.477839335180055	0.181818181818182	0.157894736842105	3	0.458333333333333	0.503267973856209	0.480800653594771	0.458333333333333	0.541666666666667	0.128711449517	0.748000000887554	0.710773200252947	0.590303898070265	0.0353159581849883	0.71792367877016	0.707597193481997	0.41710406170183	0.0389077241508578	0.718002251228955	0.706586187552184	0.415412614286759	3	18	3	14	5	2.43118992120379	5	8.69513765172687	0.5	41
22	0.49875	0.449380165289256	0.2	0.227272727272727	3	0.427549194991056	0.32824427480916	0.377896734900108	0.5	0.4375	-0.0329965280228182	0.549334715849447	0.563730107580189	0.491176948051948	-0.0199750351441686	0.540595510063082	0.549592417355603	0.429306893309206	-0.030248024120093	0.537362791216908	0.550945793680878	0.431772221219874	6	17	2	14	5	3.14463054946837	5	8.24809359249771	0.630952380952381	42
28	0.669421487603306	0.636678200692042	0.636363636363636	0.176470588235294	7	0.0253164556962025	0.565957446808511	0.295636951252357	0.25	0.583333333333333	0.0452188761293213	0.386861865480251	0.357823359521301	0.678781208192973	0.0982744970756683	0.181966401983065	0.0928130618863282	0.51569521313265	0.0240943631214012	0.123919815363672	0.102290066242018	0.547392127041554	10	13	6	7	27	10.0017966654528	27	24.4776991231249	0.474358974358974	39
30	0.408057851239669	0.638429752066116	0.181818181818182	0.409090909090909	4	0.38353765323993	0.218934911242604	0.301236282241267	0.458333333333333	0.354166666666667	0.0423957517193349	0.477148080438757	0.454	0.541125541125541	-0.00185952582736016	0.430408397456577	0.431465601853673	0.485568501883432	0.0130614827192114	0.426453795535309	0.418863288419501	0.480053114240767	6	18	5	12	9	7.5004885023627	9	15.5106867911676	0.602272727272727	44
31	0.168388429752066	0.345679012345679	0.0909090909090909	0.111111111111111	3	0.298804780876494	0.513513513513513	0.406159147195004	0.5	0.583333333333333	0.0379778508109857	0.627987117721224	0.613301125558925	0.258599149388623	0.0686904492231411	0.763230766312942	0.745767415904244	0.323715456061795	-0.0158202123349986	0.751403056616235	0.755274663404923	0.341213034485055	1	22	1	13	5	8.95770131320347	5	11.5280989674853	0.85	40
35	0.401234567901235	0.310650887573964	0.111111111111111	0.230769230769231	2	0.566265060240964	0.147540983606557	0.35690302192376	0.583333333333333	0.666666666666667	-0.0343355520987138	0.56411842162691	0.578587840775011	0.382737704762176	0.136346915107647	0.749135624871478	0.709531084278139	0.3461275490609	-0.0427953461894051	0.668635626827791	0.682234510939194	0.398629440062219	3	13	1	11	2	0.673442713252846	2	2.7304367892377	0.758064516129032	31
37	0.449905482041588	0.199432892249527	0.391304347826087	0.217391304347826	4	0.0696629213483147	1e-04	0.0348814606741574	0.333333333333333	0.416666666666667	0.0388102334823646	0.120218579234973	0.0846953937592868	0.332509881422925	0.063340033472771	0.0584107003079467	-0.00526267091685395	0.334377202194325	0.0349474821880991	0.0238418045792238	-0.0115078479190496	0.343450505106896	9	16	5	13	9	5.42448548959892	9	21.2916723637319	0.804347826086957	46
