he1	he2	ho1	ho2	n_all	r_hat1	r_hat2	mean_r_hat	r_max1	r_max2	fst	fit	fis	wc_he	corr_fst	corr_fit	corr_fis	corr_wc_he	corr_fst_mr	corr_fit_mr	corr_fis_mr	corr_wc_he_mr	het_f	hom_f	het_m	hom_m	auto_df	auto_g	sex_df	sex_g	maf	nind
2	0.13265306122449	0.624567474048443	0	0.117647058823529	4	0.625	0.479166666666667	0.552083333333333	0.625	0.479166666666667	0.1793419154113	0.876277926677125	0.849240413704226	0.427940475411522	-0.00340646568852105	0.936232338552968	0.936448823455333	0.34935739786446	0.0253412274378406	0.936256510569344	0.934599173346495	0.342899874624973	1	16	1	12	9	8.17027637511044	9	9.94358809329881	0.709677419354839	31
4	0.64404432132964	0.769230769230769	0.263157894736842	0.692307692307692	6	0.416666666666667	0.0526315789473685	0.234649122807018	0.416666666666667	0.416666666666667	0.0262279165975096	0.413708976493747	0.39791760977818	0.726644736842105	0.0142362085570287	0.296817482188092	0.28666225731158	0.583659319893635	0.0105442963948389	0.305495187808009	0.298094083786159	0.610018853061427	9	12	4	6	20	10.8027608068894	20	20.4855524818042	0.421875	32
9	0.332409972299169	0.498614958448754	0.210526315789474	0.105263157894737	2	0.224489795918367	0.4375	0.330994897959184	0.4375	0.4375	0.157258064516129	0.693548387096774	0.636363636363636	0.434210526315789	0.114406537132096	0.749413750166784	0.71704144131584	0.406161574544269	0.060793586672059	0.740811769719693	0.724034859001961	0.424558950827072	5	19	1	12	2	3.49333088487315	2	6.43139535031122	0.631578947368421	38
13	0.581611570247934	0.548476454293629	0.363636363636364	0.421052631578947	5	0.230601092896175	0.131428571428572	0.181014832162373	0.291666666666667	0.3125	0.115071740809233	0.409970161539671	0.333245568403603	0.585288801912679	0.0911171655280744	0.126385650174203	0.0388042147001492	0.537664860419504	0.0853448703138132	0.123110664398205	0.0412896542736815	0.541355805558335	10	15	5	10	14	11.9800142355572	14	22.1319935117594	0.548780487804878	41
14	0.49546485260771	0.509070294784581	0.285714285714286	0.428571428571429	3	0.268505079825835	0.0858524788391778	0.177178779332506	0.354166666666667	0.25	0.210914581535807	0.456427955133736	0.311136624569461	0.518452380952381	0.160833251428284	0.46060404284043	0.357224344175176	0.497413851021147	0.150374609932637	0.472860549102285	0.379562502415422	0.501804265729893	10	15	5	11	5	0.422606954556523	5	15.6636114220844	0.535714285714286	42
22	0.49537037037037	0.424382716049383	0.222222222222222	0.166666666666667	3	0.380645161290323	0.436031331592689	0.408338246441506	0.458333333333333	0.4375	-0.0342405618964004	0.582089552238806	0.595925297113752	0.481209150326797	-0.0347658461641592	0.599879611035266	0.613322772057112	0.418318306792253	-0.0339158491449155	0.599424504946259	0.612564702064457	0.418193062495555	3	18	4	10	5	6.39422907583015	5	16.0656267364483	0.652777777777778	36
24	0	0.393491124260355	0	0.0769230769230769	2	1e-04	0.583333333333333	0.291716666666667	0.6875	0.583333333333333	0.192223011236917	0.854059242712418	0.819330385344283	0.230623543123543	0.522773574896531	0.963553124869135	0.923627709586781	0.213216771782936	0.0339923559993969	0.891001217506329	0.887165714297803	0.337848472760745	1	12	0	10	2	1.38632681269926	2	0.482049102152674	0.854166666666667	24
28	0.7421875	0.751111111111111	0.25	0.333333333333333	6	0.496062992125984	0.385245901639344	0.440654446882664	0.5	0.458333333333333	-0.0450912035923589	0.614946339754224	0.63155975390262	0.787977382276604	-0.0358097857979043	0.596991261813851	0.610923990377535	0.496347625036994	-0.0386619630582392	0.595830612873856	0.610874951137994	0.501014615456187	6	12	3	9	20	5.38354291896733	20	9.57855301353007	0.370967741935484	31
30	0.32	0.455	0.2	0.3	2	0.230769230769231	0.205298013245033	0.218033622007132	0.416666666666667	0.333333333333333	0.0211810012836971	0.390243902439024	0.377049180327869	0.401315789473684	-0.00512509563245285	0.462858093176583	0.465596959863556	0.423207462810997	-0.002279128722671	0.462938005390836	0.464159255422579	0.422158207381332	9	16	1	13	2	5.08735901996038	2	3.14439964713979	0.725	40
31	0.152777777777778	0.21875	0.0555555555555556	0.15	2	0.466666666666667	0.186440677966102	0.326553672316384	0.520833333333333	0.395833333333333	-0.0305334295579481	0.443685796227387	0.460168697282099	0.19499269005848	0.0445120526122073	0.750489333787872	0.73886571055735	0.306484670674473	-0.0401203341740584	0.730840019958997	0.741222269003386	0.31796942564901	3	18	1	15	2	3.17360134932561	2	7.23787197041937	0.894736842105263	38
