he1	he2	ho1	ho2	n_all	r_hat1	r_hat2	mean_r_hat	r_max1	r_max2	fst	fit	fis	wc_he	corr_fst	corr_fit	corr_fis	corr_wc_he	corr_fst_mr	corr_fit_mr	corr_fis_mr	corr_wc_he_mr	het_f	hom_f	het_m	hom_m	auto_df	auto_g	sex_df	sex_g	maf	nind
2	0.231111111111111	0.513888888888889	0.133333333333333	0.166666666666667	4	0.268292682926829	0.510204081632653	0.389248382279741	0.3125	0.520833333333333	0.154429341484249	0.683917877559529	0.626190763294345	0.405327468230694	0.135774334461658	0.679955404726753	0.629674738861307	0.366730155745978	0.0435529856861504	0.660439851147153	0.644977564077142	0.398324918389557	2	18	2	7	9	11.5730434827392	9	16.353540898103	0.727272727272727	33
4	0.710059171597633	0.673010380622837	0.615384615384615	0.529411764705882	5	0.0714285714285715	0.119424460431655	0.0954265159301131	0.229166666666667	0.416666666666667	0.0254862105915297	0.230934053094469	0.210820867529895	0.718045679810386	0.0189982906605778	0.160610718754509	0.144354924915767	0.674715589945479	0.0204537874191659	0.137361537636287	0.119348886980127	0.675109880910407	10	8	6	2	14	13.0331531678388	14	27.1714368100233	0.383333333333333	30
7	0.4609375	0.652777777777778	0.125	0	4	0.479166666666667	0.708333333333333	0.59375	0.479166666666667	0.708333333333333	-0.0530325367163656	0.917379212520619	0.921540138031239	0.637268518518519	0.0133779817504664	0.954390919639391	0.953772488838706	0.313801712960713	-0.0541380676371924	0.952471246026847	0.954912211756391	0.359000165411625	0	11	0	7	9	12.3509268188583	9	16.3757266429133	0.575	20
9	0.408163265306122	0.474173553719008	0.142857142857143	0.136363636363636	2	0.333333333333333	0.4375	0.385416666666667	0.333333333333333	0.4375	-0.02912854724138	0.696401048332514	0.704994140448932	0.470800441388677	-0.0235619236100875	0.770936521002304	0.77620945668847	0.416080097004113	-0.0364712356621998	0.768789164616	0.776924986021171	0.424099488064466	5	16	0	11	2	13.657906844691	2	11.3269131595639	0.652777777777778	36
13	0.361328125	0.284580498866213	0.25	0.238095238095238	3	0.182108626198083	0.0889370932754878	0.135522859736785	0.25	0.416666666666667	-0.0288420942523285	0.239281654162986	0.260607288439304	0.328977063798492	-0.0172935481903503	0.405702137963223	0.415804943328338	0.363081088081209	-0.0352350417261785	0.403826837622686	0.424118061746404	0.368556606421942	6	17	2	9	5	6.05488470995662	5	8.30890782227429	0.810810810810811	37
18	0.124444444444444	0.253968253968254	0.133333333333333	0.19047619047619	3	1e-04	0.142857142857143	0.0714785714285715	0.3125	0.4375	-0.0128	0.184	0.194312796208531	0.206862745098039	0.0458413046835015	0.350307981842574	0.3190943798485	0.241833108150265	-0.0228960479111443	0.315862294758937	0.331175727349675	0.247920331869365	3	18	2	9	5	2.35677069716425	5	11.2479974034021	0.888888888888889	36
22	0.392361111111111	0.402777777777778	0.416666666666667	0.388888888888889	4	1e-04	0.0175438596491229	0.00882192982456144	0.3125	0.4375	-0.0237316630616408	0.00800623276507206	0.0310021629416006	0.412797619047619	-0.0145679113269601	-0.233102058581016	-0.21539627344239	0.411312475981256	-0.0149884622416506	-0.234403114129981	-0.216174528135761	0.411093206781317	8	12	4	5	9	6.32934751244464	9	17.7262127272547	0.75	30
24	0.32	0.464444444444444	0.2	0.0666666666666667	2	0.230769230769231	0.625	0.427884615384615	0.416666666666667	0.625	-0.00836400133824021	0.722984275677484	0.72528201725282	0.436811594202899	0.131753149157029	0.816900501270504	0.789115850461505	0.336997244676596	-0.0400454220745046	0.788373910637245	0.796522262517498	0.401476233235299	2	12	1	8	2	0.0495346213225608	2	2.95576669882471	0.7	25
25	0.197530864197531	0.145429362880886	0.222222222222222	0.157894736842105	2	1e-04	1e-04	1e-04	0.4375	0.5	-0.0332049810075007	-0.0996383744815792	-0.0642983674055635	0.167783240151661	-0.0332293084350815	-0.0991876329174926	-0.0638370630255456	0.167855993170475	-0.0332293084350815	-0.0991876329174926	-0.0638370630255456	0.167855993170475	2	12	1	9	2	0.100051360404546	2	3.89809177442304	0.910714285714286	28
28	0.70414201183432	0.570637119113573	0.692307692307692	0.631578947368421	6	0.00847457627118648	1e-04	0.00428728813559324	0.208333333333333	0.3125	0.0421118315948894	0.0248854980307647	-0.0179836583562845	0.644656713900135	0.0481771537214236	-0.139519361324084	-0.197196900430959	0.639496022889429	0.0473115459954064	-0.139916406873809	-0.196525896878679	0.639861560177617	13	5	6	5	20	8.98989506276749	20	24.5390710049542	0.5	32
30	0.21875	0.416322314049587	0.25	0.318181818181818	2	1e-04	0.133614627285513	0.0668573136427566	0.354166666666667	0.354166666666667	0.0411335253223253	0.214565130987163	0.180871487579266	0.359061664438503	0.0724950364872254	0.305089647921096	0.250774519365326	0.368598745595589	0.0269706525949044	0.245741997993074	0.224835300170129	0.377730010846108	4	15	4	8	2	3.36994430551294	2	16.9691464765462	0.764705882352941	34
31	0.21875	0.267561983471074	0.25	0.136363636363636	2	1e-04	0.324808184143222	0.162454092071611	0.354166666666667	0.4375	-0.0396284162877064	0.295630695260362	0.322479749779453	0.260465407754011	0.0937488177794976	0.566484121910527	0.521638275795382	0.314186424539545	-0.0471637567503512	0.493816766261704	0.516615017970897	0.325817982920005	4	14	1	11	2	1.11173828407371	2	3.25573385786321	0.852941176470588	34
38	0.169921875	0	0.0625	0	2	0.3125	1e-04	0.1563	0.3125	0.5	0.0680646731650356	0.672086286953611	0.648136835675015	0.0747898391812866	0.324026733184609	0.938549108326042	0.909092719060531	0.13843160696219	-0.0168313247646663	0.864035061280439	0.866285650915575	0.19199811441723	1	22	0	11	2	1.62262634635935	2	1.32576897684671	0.960526315789474	38
39	0.310650887573964	0.322714681440443	0.0769230769230769	0.368421052631579	4	0.375	1e-04	0.18755	0.375	0.416666666666667	-0.0125376902392475	0.234475636703109	0.243954698500153	0.330668016194332	0.0966353466360531	0.435239899496152	0.374825992581405	0.351527062140095	-0.028492237599192	0.384953676162307	0.401992254921248	0.378140351274687	5	13	2	9	9	5.42534886036631	9	10.6586845777872	0.8125	32
40	0.498046875	0.244897959183674	0.4375	0.285714285714286	2	0.0647181628392484	1e-04	0.0324090814196242	0.1875	0.395833333333333	0.208098557257847	0.236829760259082	0.0362812863451119	0.364578736900165	0.212419954681294	0.241243162085691	0.0365971783766216	0.364036155333196	0.191459965401584	0.240895508294643	0.06114173791977	0.373839507135266	7	16	3	7	2	3.25959769642968	2	16.2460796511072	0.716216216216216	37
41	0.495	0.53125	0.3	0.416666666666667	3	0.245283018867924	0.120879120879121	0.183081069873523	0.395833333333333	0.604166666666667	-0.0622431618417647	0.295214986959642	0.336512544059714	0.548068181818182	-0.0518017431046951	0.20542885193901	0.244561864182137	0.522112708710112	-0.0561307307164978	0.199371504691242	0.241922924858367	0.521554780564698	5	9	2	4	5	5.70604717369886	5	13.1377339583986	0.545454545454545	22
42	0.263671875	0.433884297520661	0.1875	0.454545454545455	2	0.168831168831169	1e-04	0.0844655844155844	0.270833333333333	0.291666666666667	0.039493880684093	0.118663116336598	0.0824244989806943	0.372836091174907	0.0133394503160516	0.195422446607558	0.184544721434168	0.398468456648058	0.0240237433068795	0.188800265578711	0.168832511182331	0.392941878998958	6	16	5	7	2	2.67819409021337	2	17.7797267352816	0.75	38
45	0.646484375	0.46875	0.375	0.35	3	0.208333333333333	0.145038167938931	0.176685750636132	0.208333333333333	0.395833333333333	0.0436439310523026	0.393421513937389	0.365739910313901	0.569342320261438	0.0363270754379343	0.267244855099628	0.239622566719546	0.530928966267614	0.0260459917165194	0.264691236119676	0.245027221381584	0.534667260506507	8	14	4	6	5	4.12020517630758	5	17.3093003352108	0.527777777777778	36
48	0.447265625	0.235537190082645	0.375	0.181818181818182	3	0.0878859857482185	0.128712871287129	0.108299428517674	0.208333333333333	0.416666666666667	0.128791938922404	0.316471107769277	0.21542404992756	0.335414174641148	0.0811493965038498	0.291024116831358	0.228410058750522	0.370339476405121	0.0900664466015964	0.289450608179017	0.219119473980011	0.366353757725866	5	17	4	8	5	5.39847047625283	5	16.5267154280792	0.789473684210526	38
49	0.505859375	0.0444214876033058	0.3125	0.0454545454545454	3	0.229166666666667	1e-04	0.114633333333333	0.229166666666667	0.479166666666667	0.339002150889638	0.578458770499077	0.362265353709886	0.247586888623073	0.401460992969918	0.649007160638719	0.413584018353476	0.241187108802211	0.240088528727071	0.605506688926017	0.480869382833284	0.300155429782195	5	18	0	11	5	4.65682123218065	5	1.54358799770568	0.815789473684211	38
51	0.42	0.48875	0.466666666666667	0.25	2	1e-04	0.323181049069374	0.161640524534687	0.208333333333333	0.4375	0.108158176229024	0.358602747399216	0.280817253121453	0.476731601731602	0.138189877338567	0.435382936358434	0.344847491582111	0.449741206698789	0.0680649378520898	0.40114417907603	0.357406062667354	0.47631038277573	9	12	1	9	2	4.3911156032401	2	4.22429444736229	0.542857142857143	35
52	0.124444444444444	0.49896694214876	0.133333333333333	0.409090909090909	2	1e-04	0.0989761092150171	0.0495380546075086	0.3125	0.3125	0.353753257187864	0.464043104195765	0.170662132126153	0.358475488475488	0.354884529112466	0.489958703627063	0.209379840679941	0.356839124261951	0.31989240429932	0.458938606752842	0.204447359994958	0.372782024986453	4	18	6	5	2	5.06755701105931	2	23.0854168840574	0.662162162162162	37
56	0.173828125	0.291383219954648	0.1875	0.238095238095238	4	1e-04	0.100642398286938	0.0503711991434688	0.270833333333333	0.416666666666667	-0.00598110516207372	0.12335805805227	0.128570171497909	0.248116611509469	0.0310295556699854	-0.0721711972350314	-0.106505573527967	0.267129847598433	-0.00422059526964064	-0.09726137901739	-0.0926497466652407	0.271398019671584	6	17	1	9	9	4.1375661501627	9	6.52621425205402	0.864864864864865	37
60	0.587890625	0.575614366729679	0.375	0.434782608695652	5	0.208333333333333	0.139382600561272	0.173857966947303	0.208333333333333	0.270833333333333	0.0197103315163725	0.330775288749574	0.317319428362818	0.600949297960167	0.0185581185499634	-0.0362069835861436	-0.0558006573503811	0.553934345597247	0.0163043893417932	-0.0396550390193486	-0.0568869350994647	0.552897971837174	10	13	4	8	14	9.54746370793871	14	17.5834284900209	0.5	39
65	0.152777777777778	0	0	0	2	0.416666666666667	1e-04	0.208383333333333	0.416666666666667	0.520833333333333	0.0493827160493828	1	1	0.0591397849462365	0.443552719679886	1	1	0.127872450526523	-0.0439637412465423	1	1	0.212068524416285	0	19	0	10	2	0.864407645341266	2	0.957103999795393	0.96969696969697	33
72	0.663265306122449	0.32875	0.285714285714286	0.15	4	0.291666666666667	0.373368146214099	0.332517406440383	0.291666666666667	0.479166666666667	0.255670109197822	0.686753554550555	0.579156434102285	0.48921349789916	0.113040526337952	0.669165791724061	0.627001888925092	0.452146450730038	0.127641449926207	0.669501720948264	0.621143990594488	0.44882092328148	6	14	1	9	9	13.2375515975307	9	13.1055025436247	0.617647058823529	34
73	0.277777777777778	0.680529300567108	0.333333333333333	0.521739130434783	5	1e-04	0.132075471698113	0.0660877358490566	0.25	0.229166666666667	0.102572007841005	0.253886650399865	0.168609229799969	0.538096448851598	0.147467909877135	-0.0183739867754538	-0.194528626633501	0.501309356316529	0.0956021680879209	-0.00809457427691918	-0.114658327016999	0.52887882908675	11	11	5	7	14	11.7839850164758	14	21.9669261300167	0.631578947368421	38
74	0.237777777777778	0.543083900226757	0.133333333333333	0.285714285714286	3	0.281437125748503	0.310533515731874	0.295985320740189	0.3125	0.395833333333333	0.437904542979856	0.712056136954812	0.487731381833836	0.433800186741363	0.274437742053716	0.700373681705973	0.587042579720004	0.428795038290829	0.268772833945578	0.699634035164055	0.589230298353562	0.431895753247912	4	18	4	7	5	5.59938157799298	5	15.9788643983298	0.486111111111111	36
78	0.231111111111111	0.258034026465028	0.133333333333333	0.217391304347826	2	0.268292682926829	0.0854870775347912	0.17688988023081	0.3125	0.375	-0.0350621184601125	0.255297997493155	0.28052433837038	0.256034409695737	-0.00460723902670716	0.475605459079149	0.47801038998196	0.316589722474791	-0.0406212296821121	0.470414343178793	0.49108701445291	0.325596701907001	4	18	3	9	2	0.472113064553372	2	9.94391785566594	0.855263157894737	38
79	0.18	0	0	0	2	0.458333333333333	1e-04	0.229216666666667	0.458333333333333	0.604166666666667	0.0561381863047502	1	1	0.072	0.472010728608454	1	1	0.137860422089331	-0.0522974796809733	1	1	0.232608492249776	0	15	0	10	2	1.04930658286959	2	1.18541785999168	0.962962962962963	27
81	0.345679012345679	0.444444444444444	0.222222222222222	0.333333333333333	2	0.217391304347826	0.142857142857143	0.180124223602484	0.4375	0.458333333333333	-0.0269636576787808	0.296600234466589	0.315068493150685	0.432592592592593	-0.0423134557859283	0.373864671562278	0.399283080380458	0.448757761218145	-0.0392788447602201	0.374679724560255	0.39831328368469	0.446686529456562	6	11	2	6	2	3.80212170565953	2	8.7192455622587	0.703703703703704	27
83	0.715	0.618827160493827	0.3	0.388888888888889	4	0.395833333333333	0.228177641653905	0.312005487493619	0.395833333333333	0.4375	-0.0328638497652582	0.465145302192904	0.482163406214039	0.68968253968254	-0.0194915191790983	0.523762657805379	0.532867774537162	0.555191632240869	-0.0400199363361081	0.513247726414771	0.53197793948065	0.551043973545192	8	7	2	8	9	10.7360732918496	9	6.74753279791168	0.5	28
85	0.560546875	0.380952380952381	0.375	0.380952380952381	4	0.198329853862213	1.45716771982052e-16	0.0991649269311065	0.208333333333333	0.354166666666667	0.0337259403169063	0.228672949354431	0.201751259990836	0.474010617760618	0.0786145450367297	0.167125130052302	0.0960624943000657	0.455375016446582	0.0236273775413626	0.14892632309472	0.128331072247641	0.475868061798295	7	16	5	6	9	1.07475727054645	9	19.7024403529307	0.675675675675676	37
86	0	0.45983379501385	0	0.315789473684211	3	1e-04	0.185714285714286	0.0929071428571428	0.4375	0.4375	0.189248268472812	0.468162859220143	0.344019728729963	0.304887218045113	0.256252188518508	0.605593560817416	0.469704067569685	0.3073367850294	0.13292861970164	0.579843075674285	0.51542983210778	0.340978571833525	2	16	3	7	5	5.68719547419689	5	12.1333777460342	0.8	30
87	0.0798611111111109	0.357777777777778	0.0833333333333334	0.0666666666666667	2	1e-04	0.625	0.31255	0.395833333333333	0.625	0.0766663703318722	0.726460189699858	0.703747592949193	0.250037037037037	0.481057891491257	0.938209867726918	0.880930586938406	0.229369773294454	-0.0129335914713447	0.853708895003934	0.8555768055993	0.347094331290392	2	14	0	8	2	3.03471078479402	2	0.706074390166388	0.851851851851852	27
90	0.4296875	0.351239669421488	0.125	0.363636363636364	2	0.291666666666667	1e-04	0.145883333333333	0.291666666666667	0.333333333333333	-0.0182364861237045	0.327263151607947	0.339311783107404	0.398308745348219	0.0629265462634529	0.431669155406738	0.393504487479543	0.396674740238728	-0.0254752781934411	0.402986313987781	0.417817573268109	0.420279798958222	4	19	4	8	2	4.19335265484973	2	18.2379535564493	0.736842105263158	38
94	0.661157024793388	0.53875	0.272727272727273	0.25	3	0.375	0.36608557844691	0.370542789223455	0.375	0.4375	0.0322818235764746	0.592894027021057	0.579313499635279	0.61343664677925	-0.00421403916253942	0.626087375219193	0.627656445539608	0.48633252231078	-0.00497896532226611	0.625889829288413	0.62774328257545	0.48592353213975	4	13	4	7	5	17.3582753884676	5	19.8528686524486	0.532258064516129	31
98	0.060546875	0.433884297520661	0.0625	0.363636363636364	2	1e-04	0.0880829015544041	0.0440914507772021	0.3125	0.333333333333333	0.204329575864115	0.339895100517572	0.170378991780025	0.285482290005316	0.223990105821389	0.406323174183886	0.234962298458182	0.291065612800578	0.176178296486194	0.361052620829133	0.224410601898935	0.304776820723216	4	19	4	7	2	1.49427923677306	2	14.5891363145382	0.802631578947368	38
101	0.331111111111111	0.566162570888469	0.133333333333333	0.217391304347826	4	0.3125	0.375	0.34375	0.3125	0.375	0.0219185628310207	0.635691241929665	0.627527172865265	0.494560979744046	0.00536909095186874	0.661426609409824	0.659598965294379	0.440111516812433	-0.00837981676244871	0.659481481360398	0.662311251198098	0.446684582371889	3	19	4	8	9	4.7730988079193	9	15.1843484665826	0.671052631578947	38
107	0.65702479338843	0.355029585798816	0.181818181818182	0.153846153846154	3	0.395833333333333	0.395348837209302	0.395591085271318	0.395833333333333	0.645833333333333	0.218903467998506	0.754708555632192	0.685965262527451	0.530726848908667	0.0852144238532802	0.711465589969816	0.684587932348524	0.445725686963925	0.0851224826771192	0.711458233219533	0.684611588636696	0.445750732991793	2	14	1	4	5	2.9650069455097	5	6.37420111832095	0.5625	24
112	0.3203125	0.447314049586777	0.375	0.363636363636364	4	1e-04	0.103184713375796	0.0516423566878981	0.208333333333333	0.333333333333333	0.0318366197024378	0.120334694084536	0.0914082025648379	0.405485778841042	0.0527039185194298	-0.0668858999578936	-0.126243337025538	0.406372925286759	0.0311199795486807	-0.109788372551057	-0.145434263402501	0.412438270414869	8	14	5	7	9	3.25681609956252	9	17.8745554903095	0.736842105263158	38
113	0.225694444444444	0.424382716049383	0.25	0.5	3	1e-04	1e-04	1e-04	0.354166666666667	0.395833333333333	0.0804423885558175	-0.035368972170607	-0.125942474169227	0.355257936507937	0.0947987631734194	-0.422727272966916	-0.57172484425083	0.349934020901833	0.0947987631734194	-0.422727272966916	-0.57172484425083	0.349934020901833	6	11	4	5	5	2.08099045955756	5	16.7288443070744	0.766666666666667	30
116	0.388888888888889	0.090702947845805	0.466666666666667	0.0952380952380952	4	1e-04	1e-04	1e-04	0.208333333333333	0.479166666666667	0.0946166394779771	-0.0277324632952691	-0.135135135135135	0.220238095238095	0.101447361319079	-0.255612104024114	-0.397371784325688	0.218664464194436	0.101447361319079	-0.255612104024114	-0.397371784325688	0.218664464194436	6	15	1	10	9	4.76028732053197	9	5.96305585088192	0.875	36
117	0.6640625	0.70875	0.625	0.65	6	0.0303030303030303	0.0432382704691812	0.0367706503861058	0.125	0.270833333333333	-0.018777040035724	0.0840611113957966	0.100942745458726	0.71062091503268	-0.0171801871372686	0.0243618645634095	0.0408404058848149	0.694047179754894	-0.0176657752927782	0.0246476909758065	0.0415789420219141	0.694648008796858	13	8	7	4	20	6.86589843882811	20	30.0422519154107	0.486111111111111	36
120	0.337777777777778	0.757369614512472	0.266666666666667	0.571428571428571	8	0.117647058823529	0.139931740614334	0.128789399718932	0.270833333333333	0.270833333333333	0.329948186528498	0.506735751295337	0.263841633158057	0.603734827264239	0.295275800458145	0.0914828157893927	-0.289181192871253	0.561171666149016	0.290317333728483	0.0736994233485296	-0.305232071565176	0.565079562445611	8	14	6	4	35	22.1575136147476	35	30.232383850781	0.430555555555556	36
